Tue Mar 01 12:07:09 2016

timeStep,Cell Index,NB_Status,ro,cellMass,cellMassTemp,epsilon,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18
0,7400,,0.777778,0.077778,0.077778,0.100000,0.111111,0.055556,0.055556,0.055556,0.055556,0.055556,0.055556,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,
0,7401,,0.777778,0.077778,0.077778,0.100000,0.111111,0.055556,0.055556,0.055556,0.055556,0.055556,0.055556,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,
0,7402,,0.777778,0.077778,0.077778,0.100000,0.111111,0.055556,0.055556,0.055556,0.055556,0.055556,0.055556,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,
0,7403,,0.777778,0.077778,0.077778,0.100000,0.111111,0.055556,0.055556,0.055556,0.055556,0.055556,0.055556,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,
0,7404,,0.777778,0.077778,0.077778,0.100000,0.111111,0.055556,0.055556,0.055556,0.055556,0.055556,0.055556,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,
0,7405,,0.777778,0.077778,0.077778,0.100000,0.111111,0.055556,0.055556,0.055556,0.055556,0.055556,0.055556,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,
0,7406,,0.777778,0.077778,0.077778,0.100000,0.111111,0.055556,0.055556,0.055556,0.055556,0.055556,0.055556,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,
0,7407,,0.777778,0.077778,0.077778,0.100000,0.111111,0.055556,0.055556,0.055556,0.055556,0.055556,0.055556,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,
0,7408,,0.777778,0.077778,0.077778,0.100000,0.111111,0.055556,0.055556,0.055556,0.055556,0.055556,0.055556,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,
0,7409,,0.777778,0.077778,0.077778,0.100000,0.111111,0.055556,0.055556,0.055556,0.055556,0.055556,0.055556,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,0.027778,
